"Estados Unidos","830572","46235","83448"
"España","208389","21717","85915"
"Italia","187327","25085","54543"
"Francia","159877","21340","40657"
"Alemania","149771","5211","99400"
"Reino Unido","133495","18100","1918"
"Turquía","98674","2376","16477"
"Irán","85996","5391","63113"
"China","82788","4632","77151"
"Rusia","57999","513","4420"
"Brasil","45757","2906","24325"
"Bélgica","41889","6262","9434"
"Canadá","39805","1966","13647"
"Países Bajos","34842","4054","250"
"Suiza","28268","1509","19400"
"Portugal","21982","785","1143"
"India","20471","652","3976"
"Perú","19250","530","7027"
"Irlanda","16671","769","9233"
"Suecia","16004","1937","550"
"Austria","14925","510","11328"
"Israel","14498","189","5215"
"Arabia Saudita","12772","114","1812"
"Japón","11512","281","1356"
"Chile","11296","160","5386"
"Ecuador","10850","537","1262"
"Corea del Sur","10694","238","8277"
"Polonia","10169","426","1513"
"Singapur","10141","12","896"
"Pakistán","10076","212","2156"
"Rumania","9710","519","2406"
"México","9501","857","2627"
"Emiratos Árabes Unidos","8238","52","1546"
"Dinamarca","7912","384","5087"
"Indonesia","7418","635","913"
"Bielorrusia","7281","58","769"
"Noruega","7275","187","32"
"Catar","7141","10","689"
"Serbia","7114","134","1025"
"República Checa","7087","208","1989"
"Filipinas","6710","446","693"
"Australia","6649","74","4920"
"Ucrania","6592","174","424"
"Malasia","5532","93","3452"
"República Dominicana","5300","260","581"
"Panamá","4821","141","231"
"Colombia","4149","196","804"
"Finlandia","4014","141","2000"
"Luxemburgo","3618","78","670"
"Egipto","3490","264","870"
"Sudáfrica","3465","58","1055"
"Bangladés","3382","110","87"
"Marruecos","3186","144","359"
"Argentina","3144","151","840"
"Tailandia","2826","49","2352"
"Argelia","2811","392","1152"
"Moldavia","2614","72","505"
"Grecia","2401","121","577"
"Hungría","2168","225","295"
"Kuwait","2080","11","412"
"Kazajistán","2025","19","489"
"Baréin","1973","7","784"
"Croacia","1908","48","801"
"Islandia","1778","10","1417"
"Uzbekistán","1692","6","357"
"Irak","1602","83","1096"
"Estonia","1552","43","169"
"Omán","1508","8","238"
"Azerbaiyán","1480","20","865"
"Nueva Zelanda","1451","14","1036"
"Armenia","1401","24","609"
"Lituania","1370","38","357"
"Eslovenia","1344","77","197"
"Bosnia y Herzegovina","1342","51","437"
"Macedonia del Norte","1231","55","224"
"Eslovaquia","1199","14","258"
"Camerún","1163","43","329"
"Cuba","1137","38","309"
"Afganistán","1092","36","150"
"Ghana","1042","9","99"
"Hong Kong","1030","4","650"
"Bulgaria","1015","47","174"
"Yibuti","945","2","112"
"Costa de Marfil","916","13","303"
"Puerto Rico","915","63","4"
"Túnez","901","38","170"
"Chipre","784","12","98"
"Nigeria","782","25","197"
"Letonia","748","9","133"
"Andorra","717","37","282"
"Guinea","688","6","127"
"Líbano","677","21","108"
"Costa Rica","669","6","150"
"Níger","657","20","127"
"Kirguistán","612","7","254"
"Bolivia","609","37","44"
"Albania","609","26","345"
"Kosovo","604","18","128"
"Burkina Faso","600","38","362"
"Uruguay","543","12","324"
"Honduras","510","46","30"
"San Marino","476","40","62"
"Palestina","466","4","71"
"Malta","443","3","150"
"Jordania","428","7","297"
"Taiwán","425","6","217"
"Senegal","412","5","242"
"Reunión","410","0","238"
"Georgia","408","4","97"
"República Democrática del Congo","350","25","35"
"Mauricio","328","9","243"
"Guatemala","316","8","24"
"Montenegro","313","5","101"
"Mayotte","311","4","117"
"Sri Lanka","310","7","102"
"Isla de Man","307","9","209"
"Kenia","296","14","74"
"Transnistria","288","15","1"
"Venezuela","288","10","122"
"Somalia","286","8","4"
"Vietnam","268","0","216"
"Malí","258","14","57"
"Jersey","255","14","133"
"Tanzania","254","10","11"
"Guernsey","241","10","123"
"Jamaica","233","6","27"
"El Salvador","225","7","48"
"Paraguay","213","9","62"
"Islas Feroe","185","0","178"
"República del Congo","165","6","16"
"Martinica","164","14","73"
